domain,dga_proba,true
p348jhbttwh.xyz,1.0,dga
yogb9j0w9s.biz,1.0,dga
84yn2fxy9zd356.top,1.0,dga
elie14doudz0.cn,1.0,dga
0xf3i1kt9w9j7qe63.info,1.0,dga
u8l5ttshtdv7.info,1.0,dga
np17q8w8gds.ru,1.0,dga
5dwt7qeq1bbblee8c1.ru,1.0,dga
u0n59u0fsg.top,1.0,dga
z4kkbc133cecejgi.biz,1.0,dga
wu4tmwpe7v7h30qhmfc.xyz,1.0,dga
l8mc2r42ygm38hh.info,1.0,dga
n2cd7c3792qp.biz,1.0,dga
4mv601txcdzm65jlo.xyz,1.0,dga
z8uopoy472dq9.ru,1.0,dga
zzkyn2cys63e5o.info,1.0,dga
8kkh2siyvs6ce6mo.info,1.0,dga
y57lcbayek71pxp0.top,1.0,dga
2dw31349n0ogpzql19.xyz,1.0,dga
c05oiv50ox0r1qlqhw.ru,1.0,dga
64a8s7cxke3lv56br.top,1.0,dga
inumry7nlnc1kzgbp.biz,1.0,dga
83d5ogd5r6.top,1.0,dga
xos4pfbngvy0xfbp.cn,1.0,dga
3xjlry8qra.top,1.0,dga
